title,content_chunk,language,keywords,qa_pair,section_type
Bank Overview,Bank of GLM Founded in 2025. Based in Syria. Offers modern smart-banking technologies. No international banking services (Syria only). Hotline: 011 20202. 13 branches.,en,"overview,founded,year,name,hotline,international,location,syria",Q: Do you offer services outside Syria? A: No. All banking services are available only within Syria.,overview
Bank Overview,Bank of GLM Founded in 2025. Based in Syria. Offers modern smart-banking technologies. No international banking services (Syria only). Hotline: 011 20202. 13 branches.,en,"overview,founded,year,name,hotline,international,location,syria",Q: what is this bank called? A: Bank of GLM,overview
نظرة عامة على البنك,تأسس بنك GLM في عام 2025. يقع في سوريا. يقدم تقنيات مصرفية ذكية وحديثة. لا توجد خدمات مصرفية دولية (متاحة داخل سوريا فقط). الرقم الساخن: 011 20202. 13 فرع.,ar,"نظرة عامة,تأسيس,دولية,هاتف,خدمات,موقع,اسم,بنك,سوريا,هاتف,سورية,دولي",س: هل تقدمون خدمات خارج سوريا؟ ج: لا. جميع الخدمات المصرفية متاحة داخل سوريا فقط.,overview
نظرة عامة على البنك,تأسس بنك GLM في عام 2025. يقع في سوريا. يقدم تقنيات مصرفية ذكية وحديثة. لا توجد خدمات مصرفية دولية (متاحة داخل سوريا فقط). الرقم الساخن: 011 20202. 13 فرع.,ar,"نظرة عامة,تأسيس,دولية,هاتف,خدمات,موقع,اسم,بنك,سوريا,هاتف,سورية,دولي",س: ما أسم هذا البنك ؟ اسم البنك هو GLM,overview
Security And Fraud Protection,Fraud Detection: AI systems monitor all transactions in real time. Additional manual checks validate suspicious cases. Abnormal activity triggers an automatic freeze. Emergency Mode: Can be manually activated via the website. Immediately freezes all accounts and cards. Can only be deactivated by visiting a branch.,en,"fraud detection,freeze,emergency,unfreeze",Q: Why was my account suddenly frozen? A: It may have been flagged by the system as suspicious and requires identity verification.,security
Security And Fraud Protection,Fraud Detection: AI systems monitor all transactions in real time. Additional manual checks validate suspicious cases. Abnormal activity triggers an automatic freeze. Emergency Mode: Can be manually activated via the website. Immediately freezes all accounts and cards. Can only be deactivated by visiting a branch.,en,"fraud detection,freeze,emergency,unfreeze",Q: What happens after I turn on Emergency Mode? A: All your accounts and cards are frozen until you visit a branch.,security
الأمان وحماية من الاحتيال,كشف الاحتيال: تراقب أنظمة الذكاء الاصطناعي جميع المعاملات في الوقت الفعلي. تتحقق الفحوصات اليدوية الإضافية من الحالات المشبوهة. النشاط غير الطبيعي يؤدي إلى تجميد تلقائي. الوضع الطارئ: يمكن تفعيله يدويًا عبر الموقع. يقوم فورًا بتجميد جميع الحسابات والبطاقات. يمكن إلغاء التفعيل فقط عند زيارة فرع.,ar,"كشف احتيال,تجميد,وضع طارئ,إلغاء التجميد",س: لماذا تم تجميد حسابي فجأة؟ ج: قد تم وضع علامة عليه من قبل النظام كحالة مشبوهة ويتطلب التحقق من الهوية.,security
الأمان وحماية من الاحتيال,كشف الاحتيال: تراقب أنظمة الذكاء الاصطناعي جميع المعاملات في الوقت الفعلي. تتحقق الفحوصات اليدوية الإضافية من الحالات المشبوهة. النشاط غير الطبيعي يؤدي إلى تجميد تلقائي. الوضع الطارئ: يمكن تفعيله يدويًا عبر الموقع. يقوم فورًا بتجميد جميع الحسابات والبطاقات. يمكن إلغاء التفعيل فقط عند زيارة فرع.,ar,"كشف احتيال,تجميد,وضع طارئ,إلغاء التجميد",س: ماذا يحدث بعد تفعيل الوضع الطارئ؟ ج: يتم تجميد جميع حساباتك وبطاقاتك حتى زيارة فرع.,security
Account Types,Savings Account: Built for managing savings. Supports multi-currency wallets and reporting tools. Checking Account: Designed for everyday expenses and payments. Business Account: Supports business operations and financial management. Customers may own multiple accounts. Creating a new account requires a branch visit.,en,"account type","Q: Can I have both a savings and a checking account? A: Yes, you can open multiple account types.",accounts
Account Types,Savings Account: Built for managing savings. Supports multi-currency wallets and reporting tools. Checking Account: Designed for everyday expenses and payments. Business Account: Supports business operations and financial management. Customers may own multiple accounts. Creating a new account requires a branch visit.,en,"account type",Q: Can I open a new account online? A: No. You must visit a branch.,accounts
أنواع الحسابات,حساب التوفير: مصمم لإدارة المدخرات. يدعم المحافظ متعددة العملات وأدوات التقارير. حساب المصروفات: مصمم للمصروفات اليومية والمدفوعات. الحساب التجاري: يدعم العمليات التجارية والإدارة المالية. يمكن للعملاء امتلاك عدة حسابات. إنشاء حساب جديد يتطلب زيارة الفرع.,ar,"نوع الحساب",س: هل يمكنني امتلاك حساب توفير وحساب جاري؟ ج: نعم، يمكنك فتح أنواع متعددة من الحسابات.,accounts
أنواع الحسابات,حساب التوفير: مصمم لإدارة المدخرات. يدعم المحافظ متعددة العملات وأدوات التقارير. حساب المصروفات: مصمم للمصروفات اليومية والمدفوعات. الحساب التجاري: يدعم العمليات التجارية والإدارة المالية. يمكن للعملاء امتلاك عدة حسابات. إنشاء حساب جديد يتطلب زيارة الفرع.,ar,"نوع الحساب",س: هل يمكنني فتح حساب جديد عبر الإنترنت؟ ج: لا. يجب زيارة الفرع.,accounts
